"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","G","SG","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","VPD","T_SONIC","T_SONIC_SIGMA","PBLH","TS_1_1_1","TS_1_1_2","TS_1_1_3","SWC_1_1_1","SWC_1_1_2","SWC_1_1_3","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","P"
"TS","RN","","","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","umolCO2 m-2 s-1","adimensional","W m-2","adimensional","mm hour-1","adimensional","W m-2","adimensional","W m-2","W m-2","m","m","m","m","decimal degrees","m s-1","m s-1","m s-1","adimensional","kg m-1 s-2","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","kPa","deg C","%","deg C","deg C","%","deg C","deg C","%","deg C","hPa","deg C","deg C","m","deg C","deg C","deg C","%","%","%","%","W m-2","W m-2","W m-2","W m-2","W m-2","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Smp","Smp","Smp","Tot"
"2025-05-05 20:30:00",573,202505052000,202505052030,429.0094,10.64323,7.622882,0.7411255,2.378686,7,46.03541,1,0.06667314,1,-16.90115,1,1129973,1129970,28.71965,79.78378,40.92282,30.96423,115.4354,5.124876,9.737666,0.4382024,0.003667632,0.2058304,1,448.281,5.073038,1.256316,0,0.7401518,3.72529E-09,0.5148886,86.34818,6.619111,66.44357,0.7726345,7.849867,61.9143,0.9399,6.481797,88.13245,4.661964,4.067649,8.569072,0.384501,451.2122,480.856,-1179570,"NAN",20.21145,16.23649,14.23786,43.17585,-7.193879,5.085649,3.787175,338.9676,347.4599,1.1
"2025-05-05 21:00:00",574,202505052030,202505052100,429.7446,15.69371,6.991161,0.5485576,-3.761126,7,11.49759,3,0.01664675,3,-17.21347,3,-1.705721E+07,-1.705721E+07,26.61468,74.39751,38.0013,28.7463,118.2989,4.199186,8.043691,0.3412968,0.009032756,0.1250671,1,182.0186,4.15051,0.9680579,0,0.6449131,3.72529E-09,0.4583189,86.38559,6.297065,62.45308,-0.3733813,7.25541,59.39329,-0.1575896,6.15224,89.1706,4.504344,4.157403,7.919342,0.3928806,282.8853,492.1232,-1305341,"NAN",20.215,16.9473,15.48138,0,-11.81947,-0.8403975,2.381685,337.2358,345.8332,0.7
"2025-05-05 21:30:00",575,202505052100,202505052130,432.4245,9.508165,6.770894,0.8158247,4.761711,4,33.3329,2,0.04825479,2,-15.87225,1,3.069694E+07,3.069694E+07,28.45653,79.43871,40.61562,30.72538,114.8029,4.212767,8.698291,0.3409902,0.00763273,0.1249629,1,215.4052,4.166551,0.960056,0,0.6131065,0,0.4227668,86.42102,6.15333,61.13571,-0.8626487,7.099382,58.57802,-0.5305817,6.017793,88.29201,4.229606,4.193024,7.690093,0.2944543,303.9918,491.8136,-1155385,"NAN",20.19304,17.56811,17.12478,0,-12.64348,-1.201548,2.601488,336.3729,345.2133,0.4
"2025-05-05 22:00:00",576,202505052130,202505052200,423.2801,14.01876,7.377189,0.4962469,10.43005,7,39.34228,7,0.05693182,7,-3.131749,8,-4.436617E+07,-4.436617E+07,26.16542,72.30428,37.21299,28.16386,112.0038,3.669324,7.590033,0.3119164,0.0006167645,0.1047789,2,2665.734,3.620416,0.8568647,0,0.6013429,0,0.412555,86.46433,5.683746,68.72591,0.3733425,6.605822,64.8447,0.4400863,5.601958,88.92285,3.920896,3.44557,7.280351,0.4410196,1000,500.8679,-1250175,"NAN",20.17011,17.95521,18.15669,0,-11.46538,-1.098394,2.225482,335.0744,343.2159,0.9
"2025-05-05 22:30:00",577,202505052200,202505052230,424.7472,11.05889,7.198203,0.5617585,-0.8012903,6,29.05311,3,0.04202176,3,-12.57499,3,-2.850043E+07,-2.850043E+07,28.30281,78.68134,40.33811,30.52094,110.4341,4.44643,8.033689,0.3872506,0.004071665,0.1618628,1,403.7979,4.397217,1.029615,0,0.6701379,1.117587E-08,0.456524,86.49209,5.224365,69.34322,0.03636016,6.023788,66.33554,0.190617,5.083744,91.1322,3.758822,3.169164,6.712584,0.3625881,423.0906,515.4263,-1429913,"NAN",20.17107,18.66242,19.32672,0,-10.36031,-0.9051906,1.752576,333.877,341.5795,0.6
"2025-05-05 23:00:00",578,202505052230,202505052300,428.1973,9.261019,7.142273,0.7077133,4.079017,4,39.00016,3,0.05638956,3,-8.994975,3,1.733114E+07,1.733114E+07,29.02918,80.53375,41.34484,31.28537,115.0801,4.534773,8.151118,0.3677711,0.002944049,0.1462303,1,558.4586,4.491334,1.001938,0,0.6274025,7.450581E-09,0.444553,86.5175,4.865372,70.53059,-0.08474868,5.769244,66.77731,0.02876621,4.721814,91.87194,3.515176,3.069131,6.358611,0.281495,520.8646,524.7272,-1552354,"NAN",20.16612,19.73104,20.8586,0,-7.902718,-0.7922484,1.458979,334.561,340.2126,0.7
"2025-05-05 23:30:00",579,202505052300,202505052330,425.8432,9.38449,6.559304,0.5423048,-3.01952,8,27.96214,8,0.04041159,8,1.203611,8,3065434,3065435,27.97093,77.28241,39.78082,30.10728,117.6426,4.260007,8.421439,0.379697,-0.00111037,0.1561884,1,-1480.704,4.205337,1.015812,0,0.6962016,7.450581E-09,0.4456511,86.53789,4.39729,67.02816,-1.231905,5.751623,61.19976,-1.179371,4.244864,92.23673,3.098694,3.583307,6.303711,0.3548172,1000,532.3171,-1546300,"NAN",20.14138,21.22409,22.30648,0,-6.861355,-0.6379656,1.328493,333.3617,338.2566,0.6
"2025-05-06 00:00:00",580,202505052330,202505060000,431.8103,13.56997,6.432935,0.6043394,-15.99385,3,19.29434,4,0.02787999,4,-34.73834,6,2.182294E+07,2.182294E+07,31.38085,87.88824,44.84539,33.91986,127.2543,4.679136,8.709735,0.3804981,0.01316409,0.1569891,3,124.8951,4.626743,1.407821,0,0.7051941,-3.72529E-09,0.4158508,86.5528,4.23426,66.53162,-1.476652,6.524429,55.49641,-1.765083,4.068111,90.94639,2.724561,4.331596,7.090036,0.5576565,244.4511,532.8731,-1371461,"NAN",20.10997,22.79916,23.37906,0,-8.111211,-0.7216218,1.583467,331.1607,336.9668,0.7
"2025-05-06 00:30:00",581,202505060000,202505060030,429.4253,11.89904,6.101352,0.5358057,-1.223937,8,37.27209,7,0.05384805,7,21.79943,7,-1.462231E+07,-1.462231E+07,28.88447,79.68633,41.05978,31.07715,127.6586,3.643838,6.775283,0.3100666,-0.01733721,0.1043389,1,-94.83244,3.580124,0.8077187,0,0.6789483,7.450581E-09,0.3609638,86.56555,4.049876,63.97661,-2.192055,5.842706,56.47361,-2.193237,3.882655,91.04046,2.556238,4.059012,6.564504,0.7084499,1468.63,538.9464,-1334905,"NAN",20.09556,24.61117,24.36765,0,-8.719838,-0.5693293,1.609739,329.5859,336.1267,0.3
"2025-05-06 01:00:00",582,202505060030,202505060100,435.8451,9.784657,6.206784,0.6212299,1.148146,7,20.17444,7,0.02914667,7,-5.830155,7,3755004,3755006,30.48587,84.81758,43.46453,32.88506,129.7276,2.973377,5.239993,0.2774129,0.00475046,0.08353513,1,346.099,2.924589,0.6121319,0,0.5362515,1.862645E-09,0.3018857,86.58242,4.029829,65.12055,-1.976543,4.725055,61.94668,-1.989072,3.885467,91.07907,2.565165,3.269461,5.269707,0.3800901,386.6143,543.7609,-1383599,"NAN",20.07985,25.79323,24.90628,0,-8.968407,-0.5448913,1.618121,329.4392,336.2446,0.3
