"TOA5","Irgason_garden","CR1000X","70307","CR1000X.8.2.1","CPU:EasyFlux_TGAOPEC_CR1KXE_V0_0605_2025_Enc.CR1X","56716","AmrFlux"
"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CH4","CH4_SIGMA","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FCH4","FCH4_SSITC_TEST","FC","FC_SSITC_TEST","FH2O","FH2O_SSITC_TEST","LE","LE_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_80","FETCH_70","FETCH_FILTER","MO_LENGTH","TAU","TAU_SSITC_TEST","U_SIGMA","USTAR","V_SIGMA","W_SIGMA","WD","WS","WS_MAX","zL","PA","TA_1_1_1","RH_1_1_1","TA_1_1_2","RH_1_1_2","TA_1_1_3","RH_1_1_3","VPD","T_SONIC","T_SONIC_SIGMA","PBLH_F","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","P"
"TS","RN","","","nmolCH4 mol-1","nmolCH4 mol-1","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","nmolCH4 m-2 s-1","adimensional","umolCO2 m-2 s-1","adimensional","mmolH2O m-2 s-1","adimensional","W m-2","adimensional","W m-2","adimensional","m","m","m","m","adimensional","m","kg m-1 s-2","adimensional","m s-1","m s-1","m s-1","m s-1","decimal degrees","m s-1","m s-1","adimensional","kPa","deg C","%","deg C","%","deg C","%","hPa","deg C","deg C","m","%","W m-2","W m-2","W m-2","W m-2","W m-2","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Tot"
"2025-06-06 02:30:00",18,202506060200,202506060230,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.54036,62.32139,"NAN","NAN","NAN","NAN",0,-52.96175,-1.684254,2.681508,309.2232,357.8192,0
"2025-06-06 03:00:00",19,202506060230,202506060300,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.82591,46.66725,"NAN","NAN","NAN","NAN",0,-25.4374,-0.4497973,2.231113,350.2898,373.0463,0
"2025-06-06 03:30:00",20,202506060300,202506060330,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.72242,62.12736,"NAN","NAN","NAN","NAN",0,-26.00287,-2.422574,-0.3849886,346.1684,370.1337,0
"2025-06-06 04:00:00",21,202506060330,202506060400,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.57092,63.69383,"NAN","NAN","NAN","NAN",0,-28.48607,-2.897036,1.97262,342.6571,366.2735,0
"2025-06-06 04:30:00",22,202506060400,202506060430,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.23217,59.84181,"NAN","NAN","NAN","NAN",0,-28.13239,-1.300011,1.738652,339.5997,364.6934,0
"2025-06-06 05:00:00",23,202506060430,202506060500,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.46208,65.34686,"NAN","NAN","NAN","NAN",0,-54.5513,-1.898525,2.534901,309.1493,359.2672,0
"2025-06-06 05:30:00",24,202506060500,202506060530,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.49192,63.23977,"NAN","NAN","NAN","NAN",43.43219,-32.85095,20.42829,7.542396,305.9106,351.6474,0
"2025-06-06 06:00:00",25,202506060530,202506060600,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.52883,65.62842,"NAN","NAN","NAN","NAN",34.14824,17.06138,87.9685,30.0256,328.1481,369.0296,0
"2025-06-06 06:30:00",26,202506060600,202506060630,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.13628,61.65985,"NAN","NAN","NAN","NAN",28.54421,47.78874,147.4528,42.53098,327.3822,384.5152,0
"2025-06-06 07:00:00",27,202506060630,202506060700,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",14.17933,54.46351,"NAN","NAN","NAN","NAN",25.91724,65.89015,175.3207,46.29789,329.9761,393.1088,0
