TIMESTAMP,SIF_iFLD_A,SIF_iFLD_B
yyyy-mm-dd hh:mm:ss,µW m⁻² nm⁻¹,µW m⁻² nm⁻¹
2025-06-09 03:00:00,-3.7279269146011735,-15.94560430985317
2025-06-09 03:30:00,0.9255799851761229,-37.57781990176174
2025-06-09 04:00:00,0.5620397884084755,-8.95887009673444
2025-06-09 04:30:00,-0.9585460562849538,-40.956493810975495
2025-06-09 05:00:00,-2.1575074490436394,-136.89116364412362
2025-06-09 05:30:00,126.7715251228775,203.39434788591134
2025-06-09 06:00:00,273.71584973235787,327.6137786713202
2025-06-09 06:30:00,351.829841732568,449.28604245397105
2025-06-09 07:00:00,516.2604727286952,600.332192447766
2025-06-09 07:30:00,676.7760898931157,677.7512787442228
2025-06-09 08:00:00,1290.741010081444,1027.8453378937659
2025-06-09 08:30:00,1743.0681446341696,1446.7198250519477
2025-06-09 09:00:00,1978.6714949073678,1582.218147257284
